Name,Address,PLZ,Location,Population
Gondiswil,Gemeindehaus,4955,Gondiswil,745
Graben,"Winkelstrasse 2, Postfach 17",4913,Bannwil,317
Grafenried,,,,949
Grandval,,2745,Grandval,362
Grindelwald,Postfach 104,3818,Grindelwald,3768
Grossaffoltern,Dorfstrasse 41,3257,Grossaffoltern,2887
GrosshÃ¶chstetten,Kramgasse 3,3506,GrosshÃ¶chstetten,3433
Gsteig,Gsteigstrasse 9,3785,Gsteig b. Gstaad,987
Gsteigwiler,Altes Schulhaus,3814,Gsteigwiler,422
Guggisberg,,3158,Guggisberg,1556
GÃ¼ndlischwand,Viertel 130E,3815,ZweilÃ¼tschinen,314
GurbrÃ¼,Oberdorf,3208,GurbrÃ¼,253
Gurzelen,,3663,Gurzelen,809
Guttannen,PlÃ¤tzli 186,3864,Guttannen,321
Habkern,,3804,Habkern,648
Hagneck,Postfach 22,2575,Hagneck,405
Hasle bei Burgdorf,"Bahnhofplatz 5, Postfach 244",3415,Hasle b. Burgdorf,3262
Hasliberg,Urseni,6085,Hasliberg-Goldern,1214
HÃ¤utligen,Dorfstrasse 22,3510,HÃ¤utligen,248
Heiligenschwendi,,3625,Heiligenschwendi,693
Heimberg,"Alpenstrasse 26, Postfach 271",3627,Heimberg,6585
Heimenhausen,Dorfstrasse 20,3373,Heimenhausen,1021
Heimiswil,Oberdorf 1,3412,Heimiswil,1604
Hellsau,Steingasse 2,3429,HÃ¶chstetten,191
Herbligen,BÃ¼hlstrasse 3,3671,Herbligen,581
Hermiswil,,3475,Hermiswil,93
Hermrigen,Hauptstrasse 34,3274,Hermrigen,258
Herzogenbuchsee,Bernstrasse 2,3360,Herzogenbuchsee,6979
Hilterfingen,Staatsstrasse 18,3652,Hilterfingen,4058
Hindelbank,Dorfstrasse 14,3324,Hindelbank,2304
HÃ¶chstetten,Steingasse 2,3429,HÃ¶chstetten,272
HÃ¶fen,,,,444
Hofstetten bei Brienz,Postfach 11,3858,Hofstetten b. Brienz,533
Homberg,Dorfstrasse 42,3622,Homberg b. Thun,510
Horrenbach-Buchen,,3623,Horrenbach-Buchen,251
Huttwil,Marktgasse 2,4950,Huttwil,4702
Iffwil,Bergacker 6C,3305,Iffwil,417
Inkwil,"Subingenstrasse 1, Postfach 8",3375,Inkwil,622
Innertkirchen,Grimselstrasse 1,3862,Innertkirchen,814
Ins,Dorfplatz 2,3232,Ins,3345
Interlaken,"General-Guisan-Strasse 43, Postfach 97",3800,Interlaken,5659
Ipsach,Dorfstrasse 8,2563,Ipsach,4032
Iseltwald,,3807,Iseltwald,426
Ittigen,Rain 7,3063,Ittigen,11067
Jaberg,Dorfplatz 2,3629,Jaberg,255
Jegenstorf,Bernstrasse 13,3303,Jegenstorf,4780
Jens,Hinterdorf 5,2565,Jens,676
Kallnach,Schmittenrain 2,3283,Kallnach,1911
Kandergrund,,3716,Kandergrund,777
Kandersteg,"Usseri Hauptstrasse, Postfach 114",3718,Kandersteg,1271
Kappelen,Aarbergstrasse 12,3273,Kappelen,1353
Kaufdorf,Dorfstrasse 10,3126,Kaufdorf,1020
Kehrsatz,Zimmerwaldstrasse 6,3122,Kehrsatz,4164
Kernenried,Dorfstrasse 16,3309,Kernenried,447
KienersrÃ¼ti,,,,50
Kiesen,"Bahnhofstrasse 10, Postfach 15",3629,Kiesen,900
Kirchberg (BE),Solothurnstrasse 2,3422,Kirchberg BE,5786
Kirchdorf (BE),Kirchgasse 42,3116,Kirchdorf BE,868
Kirchenthurnen,Bernstrasse 8,3128,Kirchenthurnen,275
Kirchlindach,Lindachstrasse 17,3038,Kirchlindach,2887
KÃ¶niz,Landorfstrasse 1,3098,KÃ¶niz,39794
Konolfingen,Bernstrasse 1,3510,Konolfingen,4929
Koppigen,Utzenstorfstrasse 3,3425,Koppigen,2080
Krattigen,Dorfplatz 2,3704,Krattigen,1077
Krauchthal,LÃ¤nggasse 1,3326,Krauchthal,2289
Kriechenwil,,3179,Kriechenwil,427
La FerriÃ¨re,,2333,La FerriÃ¨re,553
La Heutte,Rte de Sonceboz 1,2604,La Heutte,485
La Neuveville,Place du MarchÃ© 3,2520,La Neuveville,3611
Schelten,,2827,La Scheulte,40
Lamboing,,,,696
Landiswil,Dorf 59 b,3434,Landiswil,635
Langenthal,Jurastrasse 22,4901,Langenthal,15291
Langnau im Emmental,Haldenstrasse 5,3550,Langnau i. E.,9103
Lauenen,Lauenenstrasse 2,3782,Lauenen b. Gstaad,816
Laupen,Neuengasse 4,3177,Laupen BE,2852
Lauperswil,Dorfstrasse 51,3438,Lauperswil,2642
Lauterbrunnen,,3822,Lauterbrunnen,2439
Leissigen,,3706,Leissigen,964
Lengnau (BE),,2543,Lengnau BE,4672
Lenk,Rawilstrasse 22,3775,Lenk im Simmental,2454
Evilard,Rte Principale 37,2533,Evilard / Leubringen,2500
Leuzigen,Dorfstrasse 9,3297,Leuzigen,1208
Ligerz,,2514,Ligerz,539
Limpach,,,,338
Linden,"Dorfplatz 2, Postfach 33",3673,Linden BE,1312
Lohnstorf,Dorfstrasse 14,3127,Lohnstorf,220
Lotzwil,Bahnhofstrasse 4,4932,Lotzwil,2468
Loveresse,,2732,Loveresse,321
LÃ¼scherz,Hauptstrasse 19,2576,LÃ¼scherz,531
LÃ¼tschental,BriggmÃ¤ttli,3816,LÃ¼tschental,235
LÃ¼tzelflÃ¼h,Kirchplatz 1,3432,LÃ¼tzelflÃ¼h,4079
Lyss,"Marktplatz 6, Postfach 368",3250,Lyss,14200
Lyssach,"Hubelsgasse 24, Postfach 24",3421,Lyssach,1398
Madiswil,"Obergasse 2, Postfach 18",4934,Madiswil,3161
Malleray,Grand-Rue 47,2735,Malleray,1972
Matten bei Interlaken,Baumgartenstrasse 14,3800,Matten b. Interlaken,3728
Mattstetten,Urtenenstrasse 2,3322,Mattstetten,580
Meienried,am Bach 24,3293,Dotzigen,53
Meikirch,Wahlendorfstrasse 10,3045,Meikirch,2430
Meinisberg,,2554,Meinisberg,1318
Meiringen,"Rudenz 14, Postfach 532",3860,Meiringen,4676
Melchnau,,4917,Melchnau,1525
Merzligen,Schulgasse 3,3274,Merzligen,390
Mirchel,,3532,Mirchel,601
Monible,,2715,Monible,36
Mont-Tramelan,,2723,Mont-Tramelan,113
Moosseedorf,Schulhausstrasse 1,3302,Moosseedorf,3763
MÃ¶rigen,Schulstrasse 21,2572,MÃ¶rigen,867
MÃ¶tschwil,LÃ¤nggasse 1,3326,Krauchthal,131
Moutier,HÃ´tel de Ville 1,2740,Moutier,7608
MÃ¼hleberg,Kirchweg 4,3203,MÃ¼hleberg,2745
MÃ¼hledorf (BE),Dorf 16,3116,MÃ¼hledorf BE,253
MÃ¼hlethurnen,Bahnhofstrasse 50,3127,MÃ¼hlethurnen,1390
MÃ¼lchi,,,,228
MÃ¼nchenbuchsee,Bernstrasse 8,3053,MÃ¼nchenbuchsee,9852
MÃ¼nchenwiler,Grissachstrasse 30,1797,MÃ¼nchenwiler,475
MÃ¼nchringen,,,,603
MÃ¼nsingen,"Neue Bahnhofstrasse 4, Postfach 1330",3110,MÃ¼nsingen,11651
MÃ¼ntschemier,Dorfplatz 2,3225,MÃ¼ntschemier,1302
Muri bei Bern,Thunstrasse 74,3074,Muri b.Bern,12901
Neuenegg,Dorfstrasse 16,3176,Neuenegg,4881
Nidau,"Schulgasse 2, Postfach 240",2560,Nidau,6766
Niederbipp,Dorfstrasse 17,4704,Niederbipp,4371
NiederhÃ¼nigen,Dorfstrasse 14,3504,NiederhÃ¼nigen,611
Niedermuhlern,,3087,Niedermuhlern,471
NiederÃ¶nz,Aeschistrasse 32,3362,NiederÃ¶nz,1548
NiederÃ¶sch,"Rumendingenstrasse 1, Postfach 151",3423,Ersigen,234
Niederried bei Interlaken,Hauptstrasse 19,3853,Niederried b. Interlaken,340
Niederstocken,,,,249
Nods,Place du Village 5,2518,Nods,738
Noflen,Kirchgasse 42,3116,Kirchdorf BE,290
Oberbalm,Schulhausweg 3,3096,Oberbalm,879
Oberbipp,Kirchgasse 5,4538,Oberbipp,1642
Oberburg,Emmentalstrasse 11,3414,Oberburg,2937
Oberdiessbach,Gemeindeplatz 1,3672,Oberdiessbach,3052
Oberhofen am Thunersee,Schoren 1,3653,Oberhofen am Thunersee,2389
OberhÃ¼nigen,"Bernstrasse 1, Postfach 132",3532,ZÃ¤ziwil,317
Oberlangenegg,Stalden 17,3616,Schwarzenegg,473
OberÃ¶sch,"Rumendingenstrasse 1, Postfach 151",3423,Ersigen,109
Oberried am Brienzersee,Hauptstrasse,3854,Oberried am Brienzersee,463
Obersteckholz,,4924,Obersteckholz,424
Oberstocken,,,,288
Oberthal,,3531,Oberthal,751
Oberwil bei BÃ¼ren,Hofacher 2,3298,Oberwil bei BÃ¼ren,821
Oberwil im Simmental,Postfach 13,3765,Oberwil im Simmental,813
Ochlenberg,,3367,Ochlenberg,587
Oeschenbach,Bleuen 18,4943,Oeschenbach,237
Oppligen,Dorfplatz 1,3629,Oppligen,665
Orpund,"Gottstattstrasse 12, Postfach 171",2552,Orpund,2655
Orvin,"La CharriÃ¨re 6, case postale 41",2534,Orvin,1201
Ostermundigen,Schiessplatzweg 1,3072,Ostermundigen 2,16185
Perrefitte,Sous le Tacon 24,2742,Perrefitte,456
PÃ©ry,Grand-Rue 54,2603,PÃ©ry,1359
Pieterlen,"Hauptstrasse 6, Postfach 512",2542,Pieterlen,3917
Plagne,,,,361
Plateau de Diesse,La ChaÃ®ne 2,2515,PrÃªles,
Pohlern,Hof 18 D,3638,Pohlern,261
Pontenet,,2733,Pontenet,217
Port,Lohngasse 12,2562,Port,3382
PrÃªles,,,,897
Radelfingen,"BÃ¼hlstrasse 2, Postfach ",3036,Detligen,1224
Rapperswil (BE),Hauptstrasse 29,3255,Rapperswil  BE,2381
RebÃ©velier,,2717,RebÃ©velier,45
Reconvilier,Route de Chaindon 9,2732,Reconvilier,2284
Reichenbach im Kandertal,Bahnhofstrasse 30,3713,Reichenbach im Kandertal,3507
Reisiswil,DÃ¶rfli 27,4919,Reisiswil,193
Renan (BE),Rue du CollÃ¨ge 5,2616,Renan BE,854
Reutigen,Vordorf,3647,Reutigen,966
Riggisberg,vordere Gasse 2,3132,Riggisberg,2438
Ringgenberg (BE),Hauptstrasse 184,3852,Ringgenberg BE,2642
Roches (BE),Haut du Village 31,2762,Roches BE,211
Roggwil (BE),"Bahnhofstrasse 8, Postfach 164",4914,Roggwil BE,3862
Rohrbach,Bahnhofstrasse 9,4938,Rohrbach,1402
Rohrbachgraben,Wald 27,4938,Rohrbachgraben,409
Romont (BE),Route Principale 1,2538,Romont BE,195
RÃ¶thenbach im Emmental,,3538,RÃ¶thenbach i. E.,1240
Rubigen,"Worbstrasse 34, Postfach 94",3113,Rubigen,2906
RÃ¼derswil,,3437,RÃ¼derswil,2331
RÃ¼dtligen-AlchenflÃ¼h,Jurastrasse 19,3422,RÃ¼dtligen-AlchenflÃ¼h,2403
RÃ¼eggisberg,Dorfstrasse 28,3088,RÃ¼eggisberg,1831
RÃ¼egsau,RÃ¼egsaustrasse 40,3415,RÃ¼egsauschachen,3127
Rumendingen,"Dorfstrasse 3, Postfach 163",3472,Wynigen,89
Rumisberg,,4539,Rumisberg,471
RÃ¼mligen,Schulhausstrasse 23,3128,RÃ¼mligen,442
RÃ¼schegg,Hirschhorn 298,3153,RÃ¼schegg-Gambach,1615
RÃ¼ti bei BÃ¼ren,Bachstrasse 4,3295,RÃ¼ti b. BÃ¼ren,818
RÃ¼ti bei Lyssach,"Hubelsgasse 24, Postfach 55",3421,Lyssach,172
RÃ¼tschelen,,4933,RÃ¼tschelen,566
Saanen,SchÃ¶nriedstrasse 8,3792,Saanen,6858
Safnern,Hauptstrasse 62,2553,Safnern,1886
Saicourt,,2712,Le Fuet,609
Saint-Imier,"Rue Agassiz 4, case postale",2610,St-Imier,4949
Sauge,Haut-du-Village 8,2536,Plagne,
Saules (BE),,2732,Saules BE,156
Saxeten,,3813,Saxeten,98
Schalunen,,,,423
Schangnau,,6197,Schangnau,886
Schattenhalb,Willigen,3860,Schattenhalb,590
Scheunen,,,,83
Scheuren,Hauptstrasse 56,2556,Scheuren,458
Schlosswil,Riedstrasse 14,3082,Schlosswil,627
SchÃ¼pfen,Dorfstrasse 17,3054,SchÃ¼pfen,3670
Schwadernau,Hauptstrasse 52,2556,Schwadernau,673
Schwanden bei Brienz,,3855,Schwanden b. Brienz,582
Schwarzenburg,Bernstrasse 1,3150,Schwarzenburg,6794
SchwarzhÃ¤usern,Klebenstrasse 2,4911,SchwarzhÃ¤usern,501
Schwendibach,AllmerÃ¼ti 5a,3624,Schwendibach,243
Seeberg,Unterdorfstrasse 67,3365,Grasswil,1423
Seedorf (BE),Bernstrasse 72,3267,Seedorf BE,2968
Seftigen,"Dorfmatt 6, Postfach 56",3662,Seftigen,2221
Signau,Dorfstrasse 5,3534,Signau,2737
Sigriswil,Kreuzstrasse 1,3655,Sigriswil,4676
Siselen,KÃ¤sereiweg 2,2577,Siselen (BE),599
Sonceboz-Sombeval,Case postale 47,2605,Sonceboz-Sombeval,1849
Sonvilier,Case postale 99,2615,Sonvilier,1246
Sornetan,Au Village 10,2716,Sornetan,139
Sorvilier,Rue Principale 18,2736,Sorvilier,255
Souboz,DerriÃ¨re les HÃ´tas 23,2748,Souboz,131
Spiez,Sonnenfelsstrasse 4,3700,Spiez,12577
St. Stephan,Lenkstrasse 80,3772,St. Stephan,1339
Steffisburg,HÃ¶chhusweg 5,3612,Steffisburg,15585
Stettlen,"Bernstrasse 70, Postfach 217",3066,Stettlen,2931
Stocken-HÃ¶fen,Bachmatte,3632,Oberstocken,
Studen (BE),"Hauptstrasse 61, Postfach 128",2557,Studen BE,2958
Sumiswald,LÃ¼toldstrasse 3,3454,Sumiswald,5031
Sutz-Lattrigen,Poststrasse 21,2572,Sutz-Lattrigen,1384
TÃ¤gertschi,RÃ¼tiweg 10,3111,TÃ¤gertschi,409
TÃ¤uffelen,"Hauptstrasse 86, Postfach 176",2575,TÃ¤uffelen,2676
Tavannes,Grand-Rue 1,2710,Tavannes,3563
Teuffenthal (BE),,3622,Homberg b. Thun,163
Thierachern,Dorfstrasse 1,3634,Thierachern,2460
ThÃ¶rigen,Buchsistrasse 35,3367,ThÃ¶rigen,1046
Thun,Rathaus,3600,Thun,42929
Thunstetten,"Flurstrasse 2, Postfach 114",4922,BÃ¼tzberg,3066
Toffen,Bahnhofstrasse 1,3125,Toffen,2546
Trachselwald,"Chramershus, Postfach 41",3453,Heimisbach,979
Tramelan,HÃ´tel de Ville,2720,Tramelan,4419
Treiten,Unterdorf 9,3226,Treiten,422
Trub,Dorfstrasse 20,3556,Trub,1344
Trubschachen,Dorfstrasse 7,3555,Trubschachen,1423
Tschugg,,3233,Tschugg,447
Twann-TÃ¼scherz,"Moos 11, Postfach 16",2513,Twann,1113
Uebeschi,Dorf 32,3635,Uebeschi,664
Uetendorf,Dorfstrasse 48,3661,Uetendorf,5967
Unterlangenegg,Kreuzweg 118 F,3614,Unterlangenegg,920
Unterseen,Obere Gasse 2-4,3800,Unterseen,5646
Ursenbach,,4937,Ursenbach,907
Urtenen-SchÃ¶nbÃ¼hl,Zentrumsplatz 8,3322,Urtenen-SchÃ¶nbÃ¼hl,6084
Uttigen,Postfach 70,3628,Uttigen,1845
Utzenstorf,"Hauptstrasse 28, Postfach 139",3427,Utzenstorf,4123
Vauffelin,,,,455
Vechigen,Kernstrasse 1,3067,Boll,4991
Villeret,Rue Principale 25,2613,Villeret,923
Vinelz,Dorfstrasse 42,3234,Vinelz,841
Wachseldorn,,3618,SÃ¼deren,237
Wald (BE),"Kirchgasse 5, Postfach 24",3086,Zimmerwald,1194
Walkringen,Unterdorfstrasse 1,3512,Walkringen,1816
Walliswil bei Niederbipp,"Dorfstrasse 4, Postfach 210",3380,Walliswil b. Niederbipp,217
Walliswil bei Wangen,Schulhausstrasse 4,3377,Walliswil b. Wangen,580
Walperswil,Waldweg 4,3272,Walperswil,959
Walterswil (BE),,4942,Walterswil BE,543
Wangen an der Aare,"StÃ¤dtli 4, Postfach 228",3380,Wangen an der Aare,2156
Wangenried,,3374,Wangenried,409
Wattenwil,"Vorgasse 1, Postfach 98",3665,Wattenwil,2765
Wengi,Frauchwilstrasse 11,3251,Wengi b. BÃ¼ren,605
Wichtrach,Stadelfeldstrasse 20,3114,Wichtrach,4072
Wiedlisbach,HinterstÃ¤dtli 13,4537,Wiedlisbach,2181
Wiggiswil,Lyssstrasse 14 b,3053,Deisswil b. MÃ¼nchenbuchsee,96
Wilderswil,"Kirchgasse 31, Postfach 48",3812,Wilderswil,2549
Wiler bei Utzenstorf,Hauptstrasse 30,3428,Wiler b. Utzenstorf,822
Wileroltigen,Oberdorf 35A,3207,Wileroltigen,381
Willadingen,Utzenstorfstrasse 3,3425,Koppigen,211
Wimmis,Bahnhofstrasse 7,3752,Wimmis,2446
Wohlen bei Bern,Hauptstrasse 26,3033,Wohlen b. Bern,8948
Wolfisberg,Schulhausstrasse 6,4704,Wolfisberg,181
Worb,"BÃ¤renplatz 1, Postfach",3076,Worb,11370
Worben,Hauptstrasse 19,3252,Worben,2259
Wynau,,4923,Wynau,1559
Wynigen,"Dorfstrasse 3, Postfach 163",3472,Wynigen,1997
Wyssachen,"Gemeindehaus 118, Postfach 18",4954,Wyssachen,1154
Zauggenried,,,,309
ZÃ¤ziwil,"Bernstrasse 1, Postfach 132",3532,ZÃ¤ziwil,1622
Zielebach,Hauptstrasse 30,3428,Wiler b. Utzenstorf,335
Zollikofen,Wahlackerstrasse 25,3052,Zollikofen,10041
Zuzwil (BE),Oberdorf 12,3303,Zuzwil  BE,577
Zweisimmen,Lenkstrasse 5,3770,Zweisimmen,2987
Zwieselberg,Hubel 46D,3645,Zwieselberg,289
